target,prime
accuse,BLAME
adjective,ADVERB
air,FAN
aluminum,FOIL
angry,MAD
apartment,RENT
armor,KNIGHT
ask,INQUIRE
australia,KANGAROO
backpack,KNAPSACK
bank,TELLER
bath,ROBE
bed,LOFT
behind,AHEAD
bible,PROVERB
black,WHITE
boat,HULL
boss,SECRETARY
brain,THINKING
britain,ENGLAND
build,CONSTRUCTION
cab,TAXI
camp,TENT
cards,DEAL
cat,CLAW
chain,LINK
cheese,SWISS
chocolate,PUDDING
clam,OYSTER
clock,TIME
coat,TRENCH
come,LEAVE
concert,TICKET
control,DOMINATE
country,REPUBLIC
crafts,ARTS
crowd,MOB
dagger,CLOAK
date,CALENDAR
deer,ANTLERS
destroy,ANNIHILATE
dinner,LUNCH
disc,COMPACT
doe,DEER
dots,CONNECT
driver,SCREW
dusk,DAWN
egg,YOLK
embarrass,HUMILIATE
energy,KINETIC
evil,DEVIL
explain,ELABORATE
failure,SUCCESS
farm,AGRICULTURE
fence,GATE
finished,ACCOMPLISHED
flirt,TEASE
fold,CREASE
forest,WILDERNESS
frame,PICTURE
front,SIDE
gamble,BET
george,CURIOUS
glasses,LENS
good,RIGHTEOUSNESS
grass,WEED
grow,DEVELOP
hair,SPRAY
harvest,REAP
heart,TRANSPLANT
hidden,UNSEEN
hold,GRIP
horn,BUGLE
hug,EMBRACE
husband,SPOUSE
important,SPECIAL
instrument,TUBA
jacket,VEST
joke,PRANK
key,LATCH
knee,KNEEL
lamb,MUTTON
lawsuit,LIBEL
left,GONE
letter,NOTE
like,ATTRACT
lonely,ALONE
loud,NOISY
magic,MAGICIAN
many,VARIETY
maze,LABYRINTH
metal,STEEL
mirror,REFLECTION
money,WALLET
mother,FATHER
mud,DIRT
narrow,WIDE
neighborhood,COMMUNITY
nice,FRIENDLINESS
nothing,WORTHLESS
obstacle,OVERCOME
old,AGE
organize,PLANNING
package,PARCEL
part,COMPONENT
peace,WAR
perfect,PRACTICE
pickles,CUCUMBER
plain,ORDINARY
pledge,ALLEGIANCE
polite,MANNERS
prejudice,STEREOTYPE
prison,JAIL
public,PRIVATE
pyramid,EGYPT
radio,TELEVISION
reason,PURPOSE
relative,ANCESTOR
ribs,PRIME
road,STREET
rot,DECAY
russia,COMMUNIST
santa,ELF
schedule,AGENDA
